,val_accuracy,val_f1_weighted,val_precision_weighted,val_recall_weighted,best_params
RandomForest,0.9686344914985743,0.9685563501527039,0.9688434611604101,0.9686344914985743,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}"
K-Nearest Neighbors,0.9613475551800612,0.961278480058799,0.9613301663696739,0.9613475551800612,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
DecisionTree,0.9560671665434576,0.9560529216047854,0.9560511173455183,0.9560671665434576,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
SVM,0.865561305312071,0.8647093868555952,0.8667611233053432,0.865561305312071,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}"
Linear Discriminant Analysis,0.800718132854578,0.8000459707201542,0.8001834901753252,0.800718132854578,{'n_components': None}
LogisticRegression,0.7914246488541556,0.7911332218204506,0.791665445456774,0.7914246488541556,"{'C': 10.0, 'penalty': 'l2'}"
Gaussian Naive Bayes,0.7878339845812652,0.7864341702745643,0.7933638813353561,0.7878339845812652,{'var_smoothing': 1e-09}
