,best_params,cv_score,val_accuracy,val_f1_weighted,val_precision_weighted,val_recall_weighted,val_f1_bad,val_recall_bad
KNN,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.9656814956209384,0.9756647138350608,0.9756664081009254,0.9757207528542668,0.9756647138350608,0.9816044966785897,0.9861396303901437
RandomForest,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}",0.9696704620468131,0.9728481297881929,0.9728469556256906,0.9729990823429151,0.9728481297881929,0.9736174530695079,0.9851129363449692
DecisionTree,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.946984871876024,0.9498648039657503,0.949864331536367,0.9498686254030652,0.9498648039657503,0.9471523858388917,0.9476386036960985
SVM,"{'C': 1, 'kernel': 'rbf'}",0.9116229650147071,0.9148264984227129,0.9147763403834668,0.9155167976674834,0.9148264984227129,0.9202970297029703,0.954312114989733
GaussianNB,{'var_smoothing': 1e-09},0.8652721817355069,0.8681838666065795,0.8673015780481262,0.8801801269633446,0.8681838666065795,0.8685129159878985,0.9579055441478439
LogisticRegression,"{'C': 10.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.8591088842383444,0.8584948174853537,0.8583591937359253,0.8584689613819683,0.8584948174853537,0.839047369798482,0.8228952772073922
LDA,{'solver': 'lsqr'},0.8597781533098466,0.8583821541234791,0.858222950445002,0.8600806793626484,0.8583821541234791,0.867428849428363,0.9152977412731006
